Polski	utf-8
BROADCAST_BOUNCED_DELETING_FINISHED	Usuwanie zakończone
BROADCAST_BOUNCED_NEED_TO_DELETE	Usuwanie
BROADCAST_BOUNCED_NEED_TO_DELETE2	wiadomości ze skrzynki
BROADCAST_BOUNCED_DOWNLOADING_MESSAGES	Pobieranie listy wiadomości
BROADCAST_BOUNCED_ERR_TODELMESS	do usunięcia wiadomości
BROADCAST_BOUNCED_DELETING	Usuwanie odbitych wiadomości na koncie
BROADCAST_BOUNCED_ERR_INCORRECT_LOGIN	Błąd: Nieprawidłowa nazwa użytkownika lub hasło w
BROADCAST_BOUNCED_CANT_PARSE_MESS	Błąd: Nie można sparsować wiadomości:
BROADCAST_BOUNCED_NEW_MESSAGES	nowe wiadomości w skrzynce
BROADCAST_BOUNCED_WE_HAVE	Mamy
BROADCAST_BOUNCED_POP3ERROR2	do odbioru wiadomości zwrotnych
BROADCAST_BOUNCED_POP3ERROR	Błąd: Nie można połączyć się z serwerem POP3
BROADCAST_PROCESSING_BOUNCED_ACCOUNT	Przetwarzanie konta odbić
BROADCAST_PROCESSING_BOUNCED_ACCOUNT2	dla
BROADCAST_BOUNCED_FINISHED	Zakończono przetwarzanie wiadomości zwrotnych
BROADCAST_BOUNCED_MESSAGES_PROCESSED	wiadomości przetworzone
BROADCAST_BOUNCE_STARTED_2	Przetwarzanie wiadomości zwrotnych
BROADCAST_BOUNCE_STARTED	Rozpoczęto przetwarzanie odbić
BROADCAST_CAN_NOT_LOAD_DELIVERY_MODULE	Błąd: Nie można załadować modułu Mail::DeliveryStatus::BounceValidator
BROADCAST_MAIN_PROC_STARTED	Rozpoczęto główny proces
TAGS_FROM_NAME	Nazwa nadawcy
TAGS_FROM_EMAIL	Email nadawcy
ORDER	Kolejność
PERSONAL_LOAD_FROM_URL_DESCR	Możesz załadować zawartość z dowolnego URL. Na przykład [LOAD_FROM_URL_http://www.yourdomain.com/] pobierze zawartość Twojej strony głównej do wiadomości. Zwróć uwagę, że można używać tylko URL-ów "http://". Ta funkcja może być używana np. do dodawania treści z serwisu informacyjnego do wszystkich wiadomości bez konieczności ręcznego wstawiania jej do każdego szablonu.
PERSONAL_SIGNATURE_DESCR	Możesz dodać gotowy podpis używając tego specjalnego taga. Aby utworzyć nowy podpis użyj Menedżera Podpisów.
ERROR_LOADING_FROM_URL	Błąd podczas ładowania treści z URL
NOTE_MESSAGES_WILL_NOT_BE PERSONALIZED	<B>Uwaga:</B> Wiadomości wysłane funkcją "Test send" nie są personalizowane.
SIGNATURE_EDIT	Edytuj podpis
SIGNATURE_NEW	Nowy podpis
SIGNATURE_INCORRECT_NAME	Dozwolone są tylko znaki A-Z, a-z, _
TEXT_SIGNATURE	Podpis tekstowy
HTML_SIGNATURE	Podpis HTML
SIGNATURES_EDIT_DESCR	Możesz dodać tagi personalizacyjne, takie jak [FIRSTNAME], do podpisów. Podpis tekstowy będzie użyty dla wiadomości tekstowych — podpis HTML dla treści HTML wiadomości. Nie można dodawać linków do innych podpisów ani zmieniać nazwy podpisu, jeśli jest już używany w wiadomościach.
INSERT_SIGNATURES	Wstaw podpis
SIGNATURE_NAME	Nazwa podpisu
USED_IN_MESSAGES	Używany w wiadomościach
SIGNATURE_DELETE_CONFIRM	Czy na pewno chcesz usunąć ten podpis?
SIGNATURE_EDIT_DESCR	Edytuj podpis
SIGNATURE_CLONE_DESCR	Duplikuj podpis
SIGNATURE_DELETE_DESCR	Usuń podpis
CREATE_NEW_SIGNATURE	Utwórz nowy podpis
YOUR_IP	Twój aktualny adres IP
IP_BAN_ERROR_MESSAGE_DEFAULT	Nie masz uprawnień do przeglądania tej strony	
IP_BAN_ERROR_MESSAGE	Komunikat o zablokowanym IP
IP_BAN_LIST	Lista zablokowanych IP
IP_BAN_LIST_DESCR	Proszę wprowadzić listę zablokowanych IP, jeśli chcesz zablokować rejestrację z określonego adresu. Wpisz jedno IP (np. 167.22.34.65) w każdym wierszu (adresy z maską są również obsługiwane). Dodatkowo musisz zdefiniować komunikat błędu, który będzie wyświetlany odwiedzającym, jeśli ich IP zostało zablokowane. Uwaga: lista zablokowanych IP jest globalna dla wszystkich kont.
SIGNATURES_NOT_FOUND	Brak podpisów
INCORRECT_URL	Proszę nie eksperymentować z adresem URL
MANAGE_SIGNATURES	Zarządzaj podpisami
ACCOUNT_ID	ID
ACCOUNT_DELETE_CONFIRM	Czy na pewno chcesz usunąć konto?
ACCOUNT_NEW	Nowe konto
ACCOUNT_EDIT	Edytuj konto
ACCOUNT_CLONE	Duplikuj konto
ACCOUNT_NAME	Nazwa konta
ACCOUNT_DESCR	Opis konta	
CREATE_NEW_ACCOUNT	Utwórz nowe konto
ACCOUNT_STATUS_INACTIV_DESCR	Konto nieaktywne. Kliknij, aby aktywować konto
ACCOUNT_STATUS_ACTIV_DESCR	Konto aktywne. Kliknij, aby dezaktywować konto
ACCOUNT_EDIT_ACCOUNT_DESCR	Edytuj nazwę i opis konta
ACCOUNT_CLONE_ACCOUNT_DESCR	Duplikuj konto. (Ustawienia i wiadomości)
ACCOUNT_DELETE_ACCOUNT_DESCR	Usuń konto (Wszystkie ustawienia, subskrybenci i wiadomości zostaną usunięte)
CONFIRM_ENABLING_ACCOUNT	Czy na pewno chcesz aktywować konto?
CONFIRM_DISABLING_ACCOUNT	Czy na pewno chcesz dezaktywować konto?
DESCRIPTION	Opis
MANAGE_ACCOUNTS	Zarządzaj kontami
ACCOUNT_BROWSER_NO_ACCOUNTS_FOUND	Brak znalezionych kont
DAILY_REPORT	Raport dzienny
#register.cgi
REG_FROM_ACCOUNT	z konta
REG_ACCOUNT_WAS_NOT_FOUND	Konto nie znalezione
REG_SUBSCRIBER_WAS_NOT_FOUND	Subskrybent nie znaleziony
REG_REDIRECT_LINK_NOT_FOUND	Linki przekierowania nie znaleziono
REG_ACCOUNT_IS_NOT_EXIST	KONTO NIE ISTNIEJE!
REG_EMAIL_IS_INCORRECT	Email jest nieprawidłowy
REG_REQUIRED	wymagane
REG_CANTSHOW_CONFIRM	Nie można wyświetlić strony potwierdzenia - nieprawidłowe parametry
REG_CANTSHOW_THANKYOU	Nie można wyświetlić strony podziękowania - nieprawidłowe parametry
REG_CAN_NOT_OPEN_FILE	Nie można otworzyć pliku
REG_DOI_PAGE_IS_NOT_DEFINED	Strona potwierdzenia double opt-in nie jest zdefiniowana
REG_ALREADY_CONFIRMED	Już potwierdziłeś swoją subskrypcję.
REG_LOG_DELETING_USER	Usuwanie subskrybenta
REG_MSG_UNSUBSCRIBED_SUBJ	Użytkownik wypisał się
REG_MSG_UNSUBSCRIBED_BODY1	Subskrybent
REG_MSG_UNSUBSCRIBED_BODY2	usunięty z konta
#end register.cgi
FROM_SETTINGS	Ustawienia nadawcy
USER_DEFAULT_ACCOUNT_FROM_NAME	Użyj domyślnych ustawień konta 
OVERRIDE_FROM_NAME_AND_EMAIL	Nadpisz nazwę i email nadawcy 
USE_EMAIL_AND_NAME_FROM_PROSPECT_FIELDS	Z użyciem preferencji subskrybenta
USE_EMAIL_AND_NAME_FROM_REFERRER	Z użyciem informacji kontaktowych polecającego
UPDATE	aktualizuj
SKIP	pomiń
WITH_EXISTING_PROSPECTS	Z istniejącymi subskrybentami
USR_BROWSER_IMPORT_PROSPUPDATED	subskrybenci zaktualizowani
EXPORT_TO_TAB_DELMITTED	Eksport do pliku rozdzielanego tabulatorem
DUBLICATE_MESSAGE	Zduplikowana wiadomość
WARNING	Ostrzeżenie
TAB_DELMITTED_DESCR	Możesz importować subskrybentów z plików rozdzielanych tabulatorem. Możesz pobrać przykład, aby zobaczyć wszystkie pola, które można zaimportować.<BR> <FONT color="red"><B>Proszę nie zmieniać pozycji pól (nie można usuwać ani zamieniać kolumn)</B></FONT>. Nazwa i email są wymagane, wszystkie pozostałe pola są opcjonalne (po prostu pozostaw puste jeśli nie chcesz ich importować). Data rejestracji musi być w formacie <B>YYYY-MM-DD</B> (uwaga: MS-Excel może zmienić format daty i trzeba go przywrócić). Pierwszy wiersz pliku zostanie pominięty - zwykle jest to nagłówek kolumn.<BR><BR><B>Wskazówka: </B>Możesz łatwo edytować pliki rozdzielane tabulatorem w MS-Excel i zaimportować je z powrotem używając narzędzia importu rozdzielanego tabulatorem - wszystkie istniejące wpisy zostaną zaktualizowane. Pola, które zostaną zaktualizowane: Imię, Data rejestracji, IP, wszystkie pola niestandardowe oraz domyślny format wiadomości. Pola, które nie będą aktualizowane w istniejących subskrybentach: Email, informacje o sekwencji.
DOWNLOAD_TEMPLATE	Pobierz przykładowy plik tab-delimited
UPLOAD_TAB_DELMITTED_FILE	Prześlij plik tab-delimited
IMPORT_FROM_XML	Import z XML
IMPORT_FROM_TAB_DELMITTED	Import z pliku tab-delimited
IMPORT_FROM_TEXT	Prosty import z tekstu
CUSTOM_FROM_EMAIL	Niestandardowa nazwa i email nadawcy
SELECT_TO_ADD_HIDDEN_FROM	Wybierz tę opcję, jeśli chcesz dodać spersonalizowane pola "From name" i "From email" dla każdego subskrybenta
SELECT_TO_ADD_HIDDEN_FROM_DESCR	Do formularza zapisu zostaną dodane 2 ukryte pola 'FromName' i 'FromEmail'. Jeśli te pola nie są puste, subskrybent będzie otrzymywał wiadomości od nazwy i adresu email zdefiniowanych w tych ukrytych polach.
JS_VALIDATION_EMAIL_ERROR	Proszę wprowadzić prawidłowy adres email!
JS_EMAIL_NAME_VALIDATION	Walidacja formularza w JavaScript
SELECT_JS_VALIDATION	Wybierz tę opcję, jeśli chcesz dodać walidację imienia i adresu email w JavaScript
PERSONAL_REFERRER_TRACKING_ID_DESCR	To pole służy do personalizowania odnośników do Twojego formularza zapisu. Możesz dodać ten tag w linkach jak <U>http://www.yourdomain.com/page-where-my-form-is-located.html?ref=[REFERRER_TRACKING_ID]</U>.
PERSONAL_REFERRER_TRACKING_ID	ID śledzenia polecającego
COLLECTING_AFFILIATE_INFORMATION	Zbieranie informacji o polecających
ENABLE_COLLECTING_AFFILIATE_INFORMATION	Zbieraj informacje o polecających
COLLECTING_AFFILIATE_INFORMATION_DESCR	Zaznacz to pole jeśli chcesz zbierać informacje o polecających.<BR><B>Polecający:</B> Aktywny subskrybent, który polecił Twój formularz zapisu na swojej stronie. Każdy subskrybent ma swój unikalny REFERRER TRACKING ID. Możesz personalizować wiadomości przy pomocy ID polecającego dodając link do strony z formularzem zapisu. <BR>Przykład: <B>Możesz polecić znajomych do mojej listy mailingowej używając URL http://www.yourdomain.com/subscribe.html?ref=[REFERRER_TRACKING_ID]</B><BR><BR>[REFERRER_TRACKING_ID] zostanie zastąpiony unikalną wartością dla każdego subskrybenta. Nowi subskrybenci zarejestrują się używając tego linku, informacje o polecającym zostaną zapisane, a nowi subskrybenci będą otrzymywać wiadomości od Twojego polecającego (nagłówek FROM zostanie zastąpiony informacjami polecającego).
HTML_FORM_OTIONAL_SUBSCRIBE_CKECKBOX	Zapisz do konta
HTML_FORM_UNSUBSCRIBEUNSUBSCRIBED_ACCOUNTS	Wybierz konta, na których chcesz automatycznie wypisać subskrybentów<br>gdy wypiszą się z tego konta.	
HTML_FORM_SUBSCRIBEOPTION_ACCOUNTS	Dodaj opcjonalne pole zapisu dla innego konta do formularza rejestracyjnego.
MESSAGE_FORMAT_CHOISE	Wybór formatu wiadomości
HTML_FORM_INTEGRATION	Integracja formularza HTML
HTML_FORM_OPTIONS	Ustawienia zapisu/wypisu
HTML_FORM_FIELDS	Pola niestandardowe
CYCLE_ACTIVATED	Cykl aktywowany
DISABLED	Nieaktywne
SEQUENCE_CYCLE_DESCR	Jeśli włączone, wszystkie wiadomości sekwencyjne będą wysyłane do subskrybentów. FUMP poczeka zdefiniowaną liczbę dni, a następnie zrestartuje sekwencję. Możesz ustawić, ile razy sekwencja będzie powtarzana dla każdego subskrybenta (pozostaw pole puste dla nieograniczonego powtarzania).
REPEAT_SEQUENCE_TIMES	razy dla każdego subskrybenta.
REPEAT_SEQUENCE	Maksymalna liczba powtórzeń sekwencji 
SEQ_WAIT	Czekaj
START_NEW_SEQ_AFTER_DAYS	dni i rozpocznij nową sekwencję zaczynając od <BR> wiadomości
ENABLE_SEQ_CYCLE	Włącz cykl sekwencji
SEQUENCE_CYCLE_SETUP	Ustawienia cyklu sekwencji
MODIFY	Zmień
ERROR_DATE_MUST_BE_IN_FUTURE	Data musi być w przyszłości
PROSPECT_NOT_FOUND	Subskrybent nie znaleziony
CUSTOM_FROM_MESSAGES_SETTINGS	Niestandardowe informacje nagłówka nadawcy wiadomości
AFFILIATE_ID	ID polecającego
CURRENT_AFFILIATE_EMAIL	Email polecającego:
CURRENT_AFFILIATE_NAME	Imię polecającego:
AFFILIATE_INFORMATION	Informacje o polecającym
LAST_SEQUENCE_MESSAGE_WAS_SENT_AT	Ostatnia wiadomość sekwencyjna została wysłana dnia
SEQUENCE_WAS_SENT	została wysłana
SEQUENCE_DAY_SMALL	dzień
SEQUENCE_STATUS_STARTED	Sekwencja rozpoczęta
SEQUENCE_STATUS_DISABLED	Sekwencja wyłączona
SEQUENCE_STATUS_FINISHED	Sekwencja zakończona
HIDE_ADVANCED	Ukryj zaawansowane ustawienia
SHOW_ADVANCED	Pokaż zaawansowane ustawienia
CLICK_TO	Kliknij, aby
REPEAT_MESSAGE_0	bez powtórzeń
REPEAT_MESSAGE_1	powtarzaj codziennie
REPEAT_MESSAGE_2	powtarzaj co tydzień
REPEAT_MESSAGE_3	powtarzaj co miesiąc
REPEAT_MESSAGE_4	powtarzaj co rok
REPEAT_MESSAGE	Powtórz zaplanowaną wiadomość
MESS_TYPE_MANUAL	Ręczne nadawanie
MESS_TYPE_DOI	Podwójne potwierdzenie (DOI)
MESS_TYPE_AUTO	Automatyczne follow-up
MESS_TYPE_SENDDAT	Zaplanowane lub powtarzane
MESS_TYPE_SUBSCRIBE	Zapis
MESS_TYPE_UNSUBSCRIBE	Wypis
MESS_TYPE	Typ wiadomości:
MESS_SENDING_FORMAT_TYPE	Rodzaj formatu wysyłki:
SPLASH_PAGE_SETTINGS_DAILY_STATS	Raport dzienny
SPLASH_PAGE_SETTINGS_ACTIVITY	Logi aktywności 
SPLASH_PAGE_SETTINGS_CURBROADCAST	Obecne logi nadawania 
SPLASH_PAGE_SETTINGS_TOTALSTAT	Statystyki łączne
SPLASH_PAGE_SETTINGS_BOUNCED	Odbite emaile
SPLASH_PAGE_SETTINGS_BOUNCED_TOTAL	Łącznie odbić
SPLASH_PAGE_SETTINGS_NEWS	Nowości/Wsparcie
SPLASH_PAGE_SETTINGS	Ustawienia strony powitalnej:
OPEN_ONLINE_HTML_EDITOR	Otwórz edytor HTML online
ACCOUNT_MENU_EDIT_CURRENT_PROSPECT	Edytuj subskrybenta
SELECT_FIELDS_DESCR	Wybierz pola, które będą wyświetlane w menedżerze subskrybentów. Użyj przycisków lub podwójnego kliknięcia, aby dodać/usunąć pola z menedżera subskrybentów. (Nie zmieni to żadnych informacji w Twojej bazie danych)<BR><BR><B>Poziom polecającego: </B>Jeśli używasz systemu poleceń, możesz wybrać poziom systemu poleceń. To doda dodatkowe informacje o ID polecającego, Emailu i Imieniu dla każdego poziomu systemu poleceń. Jeśli subskrybenci nie mają polecających, pola te będą puste w menedżerze subskrybentów.
PROSP_SEQUENCE_STATUS	Aktualny status sekwencji
PROSP_SEQUENCE_STATUS_DESCR	Aktualny status sekwencji oznacza, która ostatnia wiadomość sekwencyjna została wysłana do Twojego subskrybenta i kiedy. Ta informacja jest aktualizowana automatycznie przez FUMP, ale jeśli chcesz możesz ją poprawić ręcznie.
PROP_IMG_DESCR	Edytuj
REMOVE_IMG_DESCR	Usuń subskrybenta
ACTION_VALUE_REMOVE	usuń
ACTION_VALUE_ACTIVATE	aktywuj
ACTION_VALUE_DEACTIVATE	dezaktywuj
ACTION_VALUE_RESTART_SEQUENCE	zrestartuj sekwencję
ACTION_VALUE_DEACTIVATE_SEQUENCE	dezaktywuj sekwencję
BUTTON_CONFIRM_BEFORE	Czy na pewno chcesz
BUTTON_CONFIRM_AFTER	wybranych subskrybentów?
BUTTON_ACTION	Przetwórz
WITH_SELECTED	Z wybranymi
REPORTSEARCHBY	Szukaj wg
REP_FIELDS_SELECTED_END	wybrane
REP_FIELDS_SELECTED_BEGIN	pola z
ORDER_BY 	Sortuj wg
SHOW_AFFILIATE_LEVEL	Pokaż poziom polecającego
SELECT_FIELDS_UP	&nbsp;&nbsp;Góra&nbsp;&nbsp;
SELECT_FIELDS_DOWN	Dół
SELECT_FIELDS_ALL	Wszystkie
AVALIBLE_FIELDS	Dostępne pola
SELECTED_FIELDS	Zaznaczone pola
FLD_SEQUENCE_REPEAT_DESC	Ile razy sekwencja została powtórzona
FLD_NAME_DESC	Imię subskrybenta
FLD_EMAIL_DESC	Email subskrybenta
FLD_PK_USER_DESC	ID subskrybenta w bazie FUMP
FLD_DATEREG_DESC	Data rejestracji subskrybenta
FLD_DAYS_DESC	Informacja o statusie sekwencji. Jeśli wiadomość z dniem ustawionym na 10 została wysłana do subskrybenta, w raporcie pokaże się 10.
FLD_DATELASTSEND_DESC	Data wysłania ostatniej wiadomości sekwencyjnej
FLD_MESSLASTSEND_DESC	ID ostatniej wysłanej wiadomości sekwencyjnej
FLD_COUNTSEND_DESC	Licznik wiadomości (wszystkie typy wiadomości są logowane)
FLD_IP_DESC	Adres IP rejestracji
FLD_UNSUBSCRIBE_DESC	Jednoznaczna wartość przypisana każdemu subskrybentowi. Zwykle generowana automatycznie po wysłaniu pierwszej wiadomości do subskrybenta.
FLD_USERMESSAGEFORMAT_DESC	HTML, tekst lub domyślny
FLD_SEQUENSE_SIZE_DESC	Ile wiadomości jest w sekwencji w bieżącym koncie. Ta sama wartość dla każdego subskrybenta.
FLD_SEQUENCE_NOW_DESC	Ile wiadomości sekwencyjnych zostało wysłanych.
FLD_STATUS_DESC	Aktywny, Oczekujący (niepotwierdzony) lub Nieaktywny
FLD_FROMEMAIL_DESC	Jeśli używasz ukrytego pola <B>from email</B> w formularzu HTML, to pole pokaże wartość <B>from email</B> przesłaną podczas rejestracji. Jeśli ustawisz <B>From settings</B> jako <B>"From prospect preferences"</B> w wiadomości, wtedy wiadomości będą wysyłane do subskrybenta z tego adresu (jeśli pole jest puste, wiadomości będą wysyłane z domyślnych ustawień konta). Możesz także użyć tej wartości w wiadomościach jako taga personalizacyjnego.
FLD_FROMNAME_DESC	Jeśli używasz ukrytego pola <B>from name</B> w formularzu HTML, to pole pokaże wartość <B>from name</B> przesłaną przy rejestracji. Jeśli ustawisz <B>From settings</B> jako <B>"From prospect preferences"</B> w wiadomości, wtedy wiadomości będą wysyłane od tej nazwy (jeśli pole jest puste, wiadomości będą wysyłane z domyślnych ustawień konta). Możesz też użyć tej wartości jako taga personalizacyjnego.
FLD_REFERRER_LINK_DESC	Śledzenie polecającego służy do polecania subskrybentów do Twojej listy mailingowej. Jest to podobne do "Unikalnego ID użytkownika", lecz ze względów bezpieczeństwa musi być inną unikalną wartością.
FLD_PK_USER	ID
FLD_SEQUENCE_REPEAT	Powtórzona sekwencja
FLD_REFERRER_LINK	Śledzenie polecającego
FLD_DATEREG	Data rejestracji
FLD_DAYS	Dni sekwencji
FLD_DATELASTSEND	Data ostatniej wysyłki
FLD_MESSLASTSEND	Ostatnie ID wiadomości
FLD_COUNTSEND	Liczba wysłanych wiadomości
FLD_IP	IP
FLD_UNSUBSCRIBE	Jednoznaczne ID użytkownika
FLD_USERMESSAGEFORMAT	Domyślny format wiadomości
FLD_SEQUENSE_SIZE	Rozmiar sekwencji
FLD_SEQUENCE_NOW	Aktualna sekwencja
FLD_STATUS	Status
FLD_FROMEMAIL	Email nadawcy
FLD_FROMNAME	Nazwa nadawcy
FLD_KEY	ID
FLD_NAME	Nazwa
FLD_EMAIL	Email
PARENT_AFFILIATE	Polecający
PROSPECT_REPORT_SELECT_FIELDS	Wybierz pola
FROM_DATE	Od
TO_DATE	do
SEARCH_BY	Szukaj wg
#WEEK_START_DAY 0=Sunday 1=Monday 
WEEK_START_DAY	0
TODAY	Dziś
DW_0	Niedziela
DW_1	Poniedziałek
DW_2	Wtorek
DW_3	Środa
DW_4	Czwartek
DW_5	Piątek
DW_6	Sobota
DW_0_S	Su
DW_1_S	Mo
DW_2_S	Tu
DW_3_S	We
DW_4_S	Th
DW_5_S	Fr
DW_6_S	Sa
#Version 4.21
LINK_CLEAN	wyczyść
REG_ERROR_NAME	Twoje imię:
TEMPLATES_LOCATED_IN	Katalog szablonów - 
PREFERENCES_PAGE_TEMPLATE	Szablon strony preferencji
SENDING_DELAY_DESCR	*) Krytyczne ustawienia. Upewnij się, że wybierasz poprawne wartości!<br><br>Uwaga: Użyj wartości różnej od zera dla "Opóźnienia między emailami" tylko jeśli masz problemy z wydajnością serwera, limit wysyłki wiadomości lub jeśli jesteś na współdzielonym serwerze WWW. Opóźnienie będzie dodane między każdym wysyłanym emailem i spowoduje wolniejszą dostawę wiadomości. Na przykład Twój serwer może wysyłać 10 wiadomości na sekundę (36 000 wiadomości na godzinę); jeśli opóźnienie zostanie ustawione na 1 sekundę na email, dodane opóźnienie wyniesie 36 000 sekund (10 godzin). W rezultacie wszystkie emaile zostaną wysłane całkowicie po 11 godzinach.
SENDING_DELAY	Opóźnienie między emailami (sekundy)
REDIR_ALREADYREMOVED_DISCR	Ta wartość będzie używana dla wszystkich kont
REDIR_ALREADYREMOVED_TO	URL strony "Już usunięty"
REDIR_ALREADYSUSCR_TO	URL strony "Już zapisany"
READ_MORE	Pokaż email...
NO_MSGS_HISTORY_FOUND	Brak emaili w Twoim archiwum historii.
YOUR_WEB_HISTORY	Twoje osobiste archiwum emaili
RSS_DEF_ENC	Domyślne - preferowane
RSS_SCRIPT_PARAM	Nazwa parametru skryptu wejściowego
RSS_SCRIPT_URL	URL skryptu wejściowego
RSS_TEXTINPUT	Ustawienia pola tekstowego
RSS_USETEXT_INPUT	Użyj sekcji pola tekstowego
RSS_ENCODING	Kodowanie kanału
RSS_LANG	Język kanału
RSS_COPYLINE	Tekst praw autorskich
RSS_TITLE	Tytuł
RSS_DISCR	Opis
RSS_URL	Adres Twojej strony
PERSONAL_RSS_LINK	Klikając ten link subskrybent będzie mógł zapisać się do spersonalizowanego kanału RSS z Twoich wiadomości
PERSONAL_HTML_LINK	Klikając ten link subskrybent będzie mógł zobaczyć spersonalizowane archiwum HTML Twoich wiadomości
TAGS_RSS_LINK_DISCR	Linki do spersonalizowanego archiwum RSS i HTML
TAGS_RSS_LINK	Link RSS
TAGS_HTML_LINK	Link do archiwum HTML
SAVE_MESSAGE_IN_USER_HISTORY	Zapisz bieżącą wiadomość do spersonalizowanego kanału RSS
RSS_LINK	Link do Twojej strony domowej
RSS_MAIN_SETTINGS	Główne ustawienia RSS
RSS_SETTINGS	Ustawienia kanału RSS 2.0
ACCOUNTMENU_HTML_RSS	Kanał RSS
ACCOUNTMENU_HTML_RSS_DESCR	Skonfiguruj kanał RSS.
NOTIFY_ABOUT_MODIFICATIONS	Włącz powiadomienia administratora o każdej modyfikacji:
